,date,cpi_value,cpi_year,cpi_month
183,2008-10-01 00:00:00.000000,216.573,2008,10
184,2008-09-01 00:00:00.000000,218.783,2008,09
185,2008-08-01 00:00:00.000000,219.086,2008,08
186,2008-07-01 00:00:00.000000,219.964,2008,07
187,2008-06-01 00:00:00.000000,218.815,2008,06
188,2008-05-01 00:00:00.000000,216.632,2008,05
189,2008-04-01 00:00:00.000000,214.823,2008,04
190,2008-03-01 00:00:00.000000,213.528,2008,03
191,2008-02-01 00:00:00.000000,211.693,2008,02
192,2008-01-01 00:00:00.000000,211.08,2008,01
193,2007-12-01 00:00:00.000000,210.036,2007,12
194,2007-11-01 00:00:00.000000,210.177,2007,11
195,2007-10-01 00:00:00.000000,208.936,2007,10
196,2007-09-01 00:00:00.000000,208.49,2007,09
197,2007-08-01 00:00:00.000000,207.917,2007,08
198,2007-07-01 00:00:00.000000,208.299,2007,07
199,2007-06-01 00:00:00.000000,208.352,2007,06
200,2007-05-01 00:00:00.000000,207.949,2007,05
201,2007-04-01 00:00:00.000000,206.686,2007,04
202,2007-03-01 00:00:00.000000,205.352,2007,03
203,2007-02-01 00:00:00.000000,203.499,2007,02
204,2007-01-01 00:00:00.000000,202.416,2007,01
205,2006-12-01 00:00:00.000000,201.8,2006,12
206,2006-11-01 00:00:00.000000,201.5,2006,11
207,2006-10-01 00:00:00.000000,201.8,2006,10
208,2006-09-01 00:00:00.000000,202.9,2006,09
209,2006-08-01 00:00:00.000000,203.9,2006,08
210,2006-07-01 00:00:00.000000,203.5,2006,07
211,2006-06-01 00:00:00.000000,202.9,2006,06
212,2006-05-01 00:00:00.000000,202.5,2006,05
213,2006-04-01 00:00:00.000000,201.5,2006,04
214,2006-03-01 00:00:00.000000,199.8,2006,03
215,2006-02-01 00:00:00.000000,198.7,2006,02
216,2006-01-01 00:00:00.000000,198.3,2006,01
217,2005-12-01 00:00:00.000000,196.8,2005,12
218,2005-11-01 00:00:00.000000,197.6,2005,11
219,2005-10-01 00:00:00.000000,199.2,2005,10
220,2005-09-01 00:00:00.000000,198.8,2005,09
221,2005-08-01 00:00:00.000000,196.4,2005,08
222,2005-07-01 00:00:00.000000,195.4,2005,07
223,2005-06-01 00:00:00.000000,194.5,2005,06
224,2005-05-01 00:00:00.000000,194.4,2005,05
225,2005-04-01 00:00:00.000000,194.6,2005,04
226,2005-03-01 00:00:00.000000,193.3,2005,03
227,2005-02-01 00:00:00.000000,191.8,2005,02
228,2005-01-01 00:00:00.000000,190.7,2005,01
229,2004-12-01 00:00:00.000000,190.3,2004,12
230,2004-11-01 00:00:00.000000,191.0,2004,11
231,2004-10-01 00:00:00.000000,190.9,2004,10
232,2004-09-01 00:00:00.000000,189.9,2004,09
233,2004-08-01 00:00:00.000000,189.5,2004,08
234,2004-07-01 00:00:00.000000,189.4,2004,07
235,2004-06-01 00:00:00.000000,189.7,2004,06
236,2004-05-01 00:00:00.000000,189.1,2004,05
237,2004-04-01 00:00:00.000000,188.0,2004,04
238,2004-03-01 00:00:00.000000,187.4,2004,03
239,2004-02-01 00:00:00.000000,186.2,2004,02
240,2004-01-01 00:00:00.000000,185.2,2004,01
241,2003-12-01 00:00:00.000000,184.3,2003,12
242,2003-11-01 00:00:00.000000,184.5,2003,11
243,2003-10-01 00:00:00.000000,185.0,2003,10
244,2003-09-01 00:00:00.000000,185.2,2003,09
245,2003-08-01 00:00:00.000000,184.6,2003,08
246,2003-07-01 00:00:00.000000,183.9,2003,07
247,2003-06-01 00:00:00.000000,183.7,2003,06
248,2003-05-01 00:00:00.000000,183.5,2003,05
249,2003-04-01 00:00:00.000000,183.8,2003,04
250,2003-03-01 00:00:00.000000,184.2,2003,03
251,2003-02-01 00:00:00.000000,183.1,2003,02
252,2003-01-01 00:00:00.000000,181.7,2003,01
253,2002-12-01 00:00:00.000000,180.9,2002,12
254,2002-11-01 00:00:00.000000,181.3,2002,11
255,2002-10-01 00:00:00.000000,181.3,2002,10
256,2002-09-01 00:00:00.000000,181.0,2002,09
257,2002-08-01 00:00:00.000000,180.7,2002,08
258,2002-07-01 00:00:00.000000,180.1,2002,07
259,2002-06-01 00:00:00.000000,179.9,2002,06
260,2002-05-01 00:00:00.000000,179.8,2002,05
261,2002-04-01 00:00:00.000000,179.8,2002,04
262,2002-03-01 00:00:00.000000,178.8,2002,03
263,2002-02-01 00:00:00.000000,177.8,2002,02
264,2002-01-01 00:00:00.000000,177.1,2002,01
265,2001-12-01 00:00:00.000000,176.7,2001,12
266,2001-11-01 00:00:00.000000,177.4,2001,11
267,2001-10-01 00:00:00.000000,177.7,2001,10
268,2001-09-01 00:00:00.000000,178.3,2001,09
269,2001-08-01 00:00:00.000000,177.5,2001,08
270,2001-07-01 00:00:00.000000,177.5,2001,07
271,2001-06-01 00:00:00.000000,178.0,2001,06
272,2001-05-01 00:00:00.000000,177.7,2001,05
273,2001-04-01 00:00:00.000000,176.9,2001,04
274,2001-03-01 00:00:00.000000,176.2,2001,03
275,2001-02-01 00:00:00.000000,175.8,2001,02
276,2001-01-01 00:00:00.000000,175.1,2001,01
277,2000-12-01 00:00:00.000000,174.0,2000,12
278,2000-11-01 00:00:00.000000,174.1,2000,11
279,2000-10-01 00:00:00.000000,174.0,2000,10
280,2000-09-01 00:00:00.000000,173.7,2000,09
281,2000-08-01 00:00:00.000000,172.8,2000,08
282,2000-07-01 00:00:00.000000,172.8,2000,07
283,2000-06-01 00:00:00.000000,172.4,2000,06
284,2000-05-01 00:00:00.000000,171.5,2000,05
285,2000-04-01 00:00:00.000000,171.3,2000,04
286,2000-03-01 00:00:00.000000,171.2,2000,03
287,2000-02-01 00:00:00.000000,169.8,2000,02
288,2000-01-01 00:00:00.000000,168.8,2000,01
289,1999-12-01 00:00:00.000000,168.3,1999,12
290,1999-11-01 00:00:00.000000,168.3,1999,11
291,1999-10-01 00:00:00.000000,168.2,1999,10
292,1999-09-01 00:00:00.000000,167.9,1999,09
293,1999-08-01 00:00:00.000000,167.1,1999,08
294,1999-07-01 00:00:00.000000,166.7,1999,07
295,1999-06-01 00:00:00.000000,166.2,1999,06
296,1999-05-01 00:00:00.000000,166.2,1999,05
297,1999-04-01 00:00:00.000000,166.2,1999,04
298,1999-03-01 00:00:00.000000,165.0,1999,03
299,1999-02-01 00:00:00.000000,164.5,1999,02
300,1999-01-01 00:00:00.000000,164.3,1999,01
301,1998-12-01 00:00:00.000000,163.9,1998,12
302,1998-11-01 00:00:00.000000,164.0,1998,11
303,1998-10-01 00:00:00.000000,164.0,1998,10
304,1998-09-01 00:00:00.000000,163.6,1998,09
305,1998-08-01 00:00:00.000000,163.4,1998,08
306,1998-07-01 00:00:00.000000,163.2,1998,07
307,1998-06-01 00:00:00.000000,163.0,1998,06
308,1998-05-01 00:00:00.000000,162.8,1998,05
309,1998-04-01 00:00:00.000000,162.5,1998,04
310,1998-03-01 00:00:00.000000,162.2,1998,03
311,1998-02-01 00:00:00.000000,161.9,1998,02
312,1998-01-01 00:00:00.000000,161.6,1998,01
313,1997-12-01 00:00:00.000000,161.3,1997,12
314,1997-11-01 00:00:00.000000,161.5,1997,11
315,1997-10-01 00:00:00.000000,161.6,1997,10
316,1997-09-01 00:00:00.000000,161.2,1997,09
317,1997-08-01 00:00:00.000000,160.8,1997,08
318,1997-07-01 00:00:00.000000,160.5,1997,07
319,1997-06-01 00:00:00.000000,160.3,1997,06
